1700013H16Rik,4930570D08Rik,4930579C12Rik,Adap1,Adsl,Anp32e,Asb13,Caln1,Ccnyl1,Chga,Cpne4,Cyp2d10,Dnajb1,En1,Eno1,F830016B08Rik,Fam83d,Gas8,Gcfc2,Gm10230,Gm10642,Gm11832,Gm12907,Gm13944,Gm15922,Gm16564,Gm17508,Gm26542,Gm26877,Gm28154,Gnaq,Gng2,Hacl1,Hcar1,Iah1,Inppl1,Ins1,Irs4,Kirrel3os,Klk8,Krt87,Lilra6,Lmtk2,Lonrf3,Marcks,Mdh2,Mob3b,Myh6,Nat8f1,Neurog2,Noto,Olfr1006,Olfr1290,Olfr612,Olig2,Pdzd2,Podn,Ppia,Ppp1r13l,Ppp1r14a,Prss44,Ptprc,Rbp3,Rcor1,Rpl22l1,Sox17,Sssca1,Tbx19,Tceal5,Tead1,Tgtp2,Tnc,Top3b,Zbtb17
0,0,0,0,0,0,0,0,0,0.38789,0,0,0,0,0,0,0,0.09926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38789,0,0.09926,0,0,0,0.09926,0,0.47863,0.19756,0,0,0.09926,0,0,0,0,0,0,0,0,1.0115,0,0,0,0.19756,0,0,0.19756,0,0,0.09926,0,0.29402,0.09926,0,0,0
0,0,0,0,0,0.6721,0,0,0,0.239,0,0,0.239,0,0.12035,0,0,0,0.12035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35446,0,0,0,0,0,0,0,0,0.57157,0.35446,0,0,0,0.12035,0,0,0,0,0,0,0,1.9316,0,0.12035,0,0.12035,0,0.12035,0,0,0,0,0,0,0,0,0,0
0,0,0,0.12125,0,0,0,0,0,0,0,0,0,0,0.12125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12125,0,0,0.12125,0.12125,0,0,0,0,0,0,0,0,0,0.12125,0,0,0,0,0,0,0,0,0,0,0,0,0.67651,0,0,0,0.12125,0,0,0.24077,0,0.24077,0,0,0.57546,0,0,0,0
0,0,0,0.13531,0,0.51924,0,0,0,0.13531,0,0,0.26822,0,0.13531,0,0.13531,0.26822,0,0,0,0,0,0,0,0,0,0,0,0.13531,0.26822,0,0,0,0.13531,0,0,0,0,0,0,0,0,0,0.84561,0.26822,0.13531,0,0,0,0,0,0,0,0,0,0,1.0297,0,0,0,0.13531,0.13531,0.13531,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.66037,0,0.14141,0,0.54079,0,0,0,0,0,0,0,0.14141,0.14141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41375,0.14141,0.14141,0,0,0,0,0,0,0.28009,0,0.14141,0,0,0,0,0,0,0,0,0,0,1.5583,0,0,0,0,0,0.14141,0.14141,0,0.14141,0,0,0,0,0,0,0.14141
0,0,0,0.12289,0,0.12289,0,0,0,0.58249,0,0,0,0,0.24397,0,0,0,0.12289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1716,0,0,0,0,0,0,0,0.24397,0.24397,0.12289,0,0,0,0,0,0,0,0,0,0,0.47476,0,0,0.12289,0,0,0,0.78065,0,0,0,0,0.12289,0,0,0,0
0,0,0,0,0,0.50647,0,0,0,0.82712,0.13172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13172,3.8169,0,0,0,0,0,0,0,0,0.13172,0.13172,0,0,0,0,0,0,0,0,0,0,0.72688,0,0,0,0,0,0.3866,0,0.13172,0,0,0,0,0,0,0.13172,0
0,0,0,0,0,0.13296,0,0,0,1.2491,0,0,0.13296,0,0.13296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13296,0.13296,0,0,0,0,0.26364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13296,0,0.83353,0,0,0,0,0,0,0,0,0.26364,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13482,0,0,0,0,0,0.13482,0,0.26726,0.3953,0.13482,0,0,0,0,0,0,0,0,0,0,1.0268,0.13482,0,0,0,0,0.3953,0.3953,0,0.13482,0,0,0.13482,0,0,0,0
0,0,0,0,0,0,0.13489,0,0,0.84347,0,0,0.13489,0,0.2674,0,0,0.13489,0,0,0,0,0,0,0,0,0,0,0,0,0.13489,0,0.13489,0,0.13489,0,3.4125,0,0,0,0,0,0,0,0.13489,0.2674,0,0,0,0,0,0,0,0,0,0,0,0.63331,0,0,0,0.13489,0,0.13489,0,0,0,0,0,0.13489,0,0,0,0
