4930521E06Rik,A530013C23Rik,Amotl1,Bcl7b,C2cd3,Cd209e,Cd248,Chga,Cldn34b3,Col9a2,Defb8,Eed,Gad2,Gdpd2,Gltscr2,Gm14964,Gm4847,Gm648,Gm8098,Gnaq,Gng11,Hhatl,Hsp90ab1,Hspa4l,Ighv9-4,Inppl1,Ins1,Lipt1,Map3k12,Neurog2,Olfr142,Ophn1,Palmd,Pcsk1n,Pef1,Pyurf,Rasef,Rbp3,Rgs3,Rhou,Rpl38,Rps17,Rps25,Slc12a4,Slc27a1,Slc2a13,Smarcd1,Sox30,Spanxn4,Spopl,Sssca1,Svs6,Tead1,Tmsb15b2,Tmsb15l,Tpst2
0,0,0,0,0,0.14157,0,0.14157,0.14157,0,0,0,0,0,0,0,0,0,0,0.14157,0,0,1.0652,0.66102,0,0.14157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41419,0.54135,0.54135,0,0,0,0,0,0,0.2804,0,0,0,0,0,0.14157
0,0,0.11975,0,0,0,0,0.11975,0,0,0,0.11975,0,0,0,0,0.11975,0,0,0,0,0,0.76378,0,0,0,4.8574,0,0.23782,0,0,0,0,0.23782,0.35274,0,0,0,0,0,0.46337,0.35274,0.76378,0,0,0,0.11975,0,0,0,0,0,0.11975,0.11975,0.23782,0
0,0,0.16709,0,0,0,0,0.88647,0,0,0,0,0.16709,0,0,0,0,0,0,0,0,0,0.16709,0.16709,0,0,0,0,0.16709,0,0,0,0,0,0,0,0,0,0.32973,0,0,0.16709,0.88647,0,0.16709,0,0,0,0,0.16709,0,0,0,0,0,0.16709
0,0,0,0,0,0,0,1.164,0,0.28518,0,0.14403,0.14403,0,0,0,0,0,0,0,0,0,0.98765,0,0,0.14403,4.7579,0,0,0,0,0.14403,0.14403,0.14403,0,0,0.14403,0,0.28518,0,0.78427,0.54997,0.28518,0,0,0,0,0,0,0,0,0,0,0,0,0.14403
0,0,0.1578,0.1578,0,0,0,0,0,0.1578,0,0,0,0,0,0,0,0,0,0.1578,0,0,1.3987,0,0,0,0.1578,0,0.31183,0,0,0,0,0.31183,0.1578,0.1578,0,0,0.1578,0,0.31183,0.1578,0.31183,0,0.1578,0,0,0,0,0.31183,0,0,0,0.31183,0.5976,0.31183
0,0,0.15777,0,0.15777,0,0,0.31178,0,0.15777,0,0,0,0,0,0,0,0,0,0,0,0,1.6003,0.15777,0,0,1.6601,0,0.31178,0,0,0,0,0.15777,0,0,0,0,0.15777,0,0.72652,1.5371,0.459,0,0,0,0,0,0,0,0,0,0.31178,0,0.459,0
0,0,0.28647,0,0.1447,0,0,0.99116,0,0.1447,0,0,0,0,0,0,0,0,0,0.1447,0,0,1.5205,0,0,0.1447,3.6545,0,0,0,0,0.1447,0,0.1447,0,0,0,0,0,0.1447,0.89293,0.42289,0.28647,0,0,0,0,0,0,0.67384,0,0,0,0.99116,1.3221,0
0,0,0,0,0.15426,0,0,1.0407,0,0.30499,0,0,0,0,0,0,0,0,0,0.44934,0,0,1.8953,0,0,0.30499,0,0,0,0,0,0,0,0.15426,0.30499,0,0,0,0,0,0.30499,1.0407,0.58546,0,0,0,0.15426,0.15426,0,0,0,0,0,0.15426,0,0.30499
0,0,0,0,0,0,0,0.32375,0,0.16398,0,0,0,0,0,0,0,0,0,0,0,0,1.6363,0.32375,0,0.32375,0,0,0,0,0,0,0,0.16398,0,0,0,0,0,0,0,0.47598,0.32375,0,0,0,0,0,0,0,0,0,0.47598,0,0.16398,0
0,0,0,0,0,0,0,0.48421,0,0,0,0,0,0.16701,0.16701,0,0,0,0,0.48421,0,0,0.88611,0,0,0,3.0049,0,0.16701,0,0,0,0,0,0.16701,0.16701,0,0,0.16701,0.16701,0.76278,0.32957,0.48421,0,0,0,0.16701,0,0,0,0,0,0,0,0,0
